occurrenceID,materialEntityID,basisOfRecord,datasetName,institutionCode,catalogNumber,materialEntityCategory,materialEntityType,taxonID,scientificName,scientificNameAuthorship,originalNameUsage,higherClassification,locationID,locality,island,islandGroup,country,countryCode,decimalLatitude,decimalLongitude,earliestEpochOrLowestSeries,latestEpochOrHighestSeries,associatedReferences,materialEntityRemarks,occurrenceRemarks,taxonRemarks,locationRemarks,dynamicProperties
MAS-SP-0011A,MAS-SP-0011A,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 1441,fossil,"Batch of many solitaire bones, all pathological (healed fractures).",MAS-TAX-0002,Pezophaps solitaria,,Pezophaps solitaria,,MAS-LOC-0002,Cavern,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://data.nhm.ac.uk/object/a61b99de-4e91-4962-b814-83dae302bd9e/1789031152519,checked and verified; duplicate catalogue record merged during v0.3 cleanup,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""No"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0011,MAS-SP-0011,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 1441 1,fossil,"humerus male right, pathological (healed fracture).",MAS-TAX-0002,Pezophaps solitaria,,Pezophaps solitaria,,MAS-LOC-0002,Cavern,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://doi.org/10.1111/bij.12087 | https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon | https://data.nhm.ac.uk/object/9ddd18d2-a0b2-411b-bbde-2e1d593abe5b/1789031152519,checked and verified; literature and NHMUK duplicate records merged during v0.3 cleanup,"Pezophaps solitaria. FIGURED. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""Yes"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010"",""MAS-SRC-0003""]}"
MAS-SP-0012,MAS-SP-0012,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 1441 2,fossil,"Coracoid, female left, pathological (healed fracture)",MAS-TAX-0002,Pezophaps solitaria,,Pezophaps solitaria,,MAS-LOC-0002,Cavern,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://doi.org/10.1111/bij.12087 | https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon | https://data.nhm.ac.uk/object/da1a3367-35ae-44f1-bb4d-9fd655fdd10f/1789031152519,checked and verified; literature and NHMUK duplicate records merged during v0.3 cleanup,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""Yes"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010"",""MAS-SRC-0003""]}"
MAS-SP-0013,MAS-SP-0013,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 3507/ PV A 3505,fossil,Carpometacarpi with and without carpal knobs; males and females.,MAS-TAX-0002,Pezophaps solitaria,,Pezophaps solitaria,,MAS-LOC-0002,Cavern,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://data.nhm.ac.uk/object/7e99cae4-3a23-4eca-9839-5671d8ef4b9d/1789031152519,checked and verified,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""No"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0014,MAS-SP-0014,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 1377,fossil,"Sternum, female.",MAS-TAX-0002,Pezophaps solitaria,,Pezophaps solitaria,,MAS-LOC-0002,Cavern,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,checked and verified,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""Yes"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0015,MAS-SP-0015,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 1382,fossil,"Male ulna, right. Male radius, left and right.",MAS-TAX-0002,Pezophaps solitaria,,Pezophaps solitaria,,MAS-LOC-0002,Cavern,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,checked and verified,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""Yes"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0016,MAS-SP-0016,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 9050,fossil,Skull,MAS-TAX-0004,Necropsar rodericanus,,Necropsar rodericanus,,MAS-LOC-0002,Cavern,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://data.nhm.ac.uk/object/1b2501ae-571e-4cdc-9e9e-9d45fc33440d/1789031152519,checked and verified,"Necropsar rodericanus. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""No"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0017,MAS-SP-0017,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV OR 35902,fossil,Quadrate,MAS-TAX-0001,Raphus cucullatus,"(Linnaeus, 1758)",Raphus cucullatus,,MAS-LOC-0001,Petite Riviere,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://data.nhm.ac.uk/object/8849c529-99dd-4865-b055-dcff4ee7a3fd/1789031152519,checked and verified,"Raphus cucullatus. Nearest Named Place: Petite Riviere, Mauritius. Presented, Dr Philip B. Ayres; b.12/12/1813; d.30/04/1863; Ayres, 1861",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified. Duplicate taxon record MAS-TAX-0013 was merged during database cleanup.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""No"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0018,MAS-SP-0018,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV OR 35903,fossil,Fragment of radius?,MAS-TAX-0001,Raphus cucullatus,"(Linnaeus, 1758)",Raphus cucullatus,,MAS-LOC-0001,Petite Riviere,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://data.nhm.ac.uk/object/51186f23-ace1-4a7c-8f24-86227e59de3f/1789031152519,checked and verified,"Raphus cucullatus. Nearest Named Place: Petite Riviere, Mauritius. Presented, Dr Philip B. Ayres; b.12/12/1813; d.30/04/1863; Ayres, 1861",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified. Duplicate taxon record MAS-TAX-0013 was merged during database cleanup.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""No"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0019,MAS-SP-0019,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 1389,fossil,Carpometacarpus without carpal knob; female. Left and right.,MAS-TAX-0002,Pezophaps solitaria,,Pezophaps solitaria,,MAS-LOC-0002,Cavern,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://data.nhm.ac.uk/object/bdd72c78-eaad-47df-9a81-bf96422c6743/1789031152519,checked and verified,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""No"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0021,MAS-SP-0021,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 3606,fossil,"Sternum, male.",MAS-TAX-0002,Pezophaps solitaria,,Pezophaps solitaria,,MAS-LOC-0002,Cavern,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://data.nhm.ac.uk/object/3b17472f-37b8-4a99-a350-bb1f0a951550/1789031152519,checked and verified,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""No"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0022,MAS-SP-0022,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 1388,fossil,Carpometacarpus; male. Left and right.,MAS-TAX-0002,Pezophaps solitaria,,Pezophaps solitaria,,MAS-LOC-0002,Cavern,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://data.nhm.ac.uk/object/8be152fb-5872-44a0-810a-2c8b2587492e/1789031152519,checked and verified,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""No"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0023,MAS-SP-0023,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 153,fossil,Imperfect skull,MAS-TAX-0005,Sula piscator,"(Linnaeus, 1758)","Sula piscator (Linnaeus, 1758)",,MAS-LOC-0004,Rodrigues Island,Rodrigues,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://data.nhm.ac.uk/object/fe69267e-eb7a-4851-904b-285842bafe3f/1789031152519,checked and verified,"Sula piscator (Linnaeus, 1758). Quaternary, Holocene. Rodrigues Island, Rodriguez, Mauritius",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""No"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
MAS-SP-0024,MAS-SP-0024,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 360,fossil,Plaster cast of mandible,MAS-TAX-0003,Lophopsittacus mauritianus,"Owen, 1866","Lophopsittacus mauritianus Owen, 1866",,MAS-LOC-0005,Mauritius,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://data.nhm.ac.uk/object/7a4b2228-51cf-428d-a954-b6e57b2d8efc/1789031152519,checked and verified,"Lophopsittacus mauritianus Owen, 1866. CAST OF FIGURED SPECIMEN. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""No"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""],""taxonSynonyms"":""Psittacus mauritianus""}"
MAS-SP-0025,MAS-SP-0025,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 361,fossil,Cast of anterior end of sternum,MAS-TAX-0003,Lophopsittacus mauritianus,"Owen, 1866","Lophopsittacus mauritianus Owen, 1866",,MAS-LOC-0005,Mauritius,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://data.nhm.ac.uk/object/9b318129-8fa3-4fc8-905c-af35e6734ee5/1789031152519,checked and verified,"Lophopsittacus mauritianus Owen, 1866. CAST OF FIGURED SPECIMEN. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""No"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""],""taxonSynonyms"":""Psittacus mauritianus""}"
MAS-SP-0026,MAS-SP-0026,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 362,fossil,Cast of left metatarsus,MAS-TAX-0003,Lophopsittacus mauritianus,"Owen, 1866","Lophopsittacus mauritianus Owen, 1866",,MAS-LOC-0005,Mauritius,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://data.nhm.ac.uk/object/ad9525bd-a307-4db7-b6a1-6659421b82ca/1789031152519,checked and verified,"Lophopsittacus mauritianus Owen, 1866. CAST OF FIGURED SPECIMEN. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""No"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""],""taxonSynonyms"":""Psittacus mauritianus""}"
MAS-SP-0027,MAS-SP-0027,FossilSpecimen,Mascarene Paleo Framework,NHMUK,PV A 363,fossil,Left metacarpal,MAS-TAX-0006,Astur alphonsi,"Newton & Gadow, 1893","Astur alphonsi Newton & Gadow, 1893",,MAS-LOC-0005,Mauritius,Mauritius,Mascarene Islands,Mauritius,MU,,,,,https://data.nhm.ac.uk/ | https://data.nhm.ac.uk/object/6030bcb4-c231-40dc-99e8-3bd463bd118c/1789031152519,checked and verified,"Astur alphonsi Newton & Gadow, 1893. HOLOTYPE. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",Imported from NHMUK taxon-ID mapping; accepted taxonomy should be independently verified.,"Imported from NHMUK locality-ID mapping; precise locality, coordinates, stratigraphy and age require verification.","{""evidenceConfidence"":""A"",""photographAvailable"":""No"",""recordProvenanceClass"":""Direct museum record"",""sourceIDs"":[""MAS-SRC-0010""]}"
