specimen_id,species_id,repository,catalogue_number,element,locality_id,provenance,evidence_confidence,photograph_available,photograph_source,3d_available,3d_repository,3d_id,notes
MAS-SP-0012,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 1441 2,,MAS-LOC-0002,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0013,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 3507,,MAS-LOC-0002,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0014,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 1377,,MAS-LOC-0002,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0015,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 1382,,MAS-LOC-0002,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0016,MAS-TAX-0004,"Natural History Museum, London (NHMUK)",PV A 9050,,MAS-LOC-0002,"Necropsar rodericanus. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified.
MAS-SP-0017,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV OR 35902,,MAS-LOC-0001,"Raphus cucullatus. Nearest Named Place: Petite Riviere, Mauritius. Presented, Dr Philip B. Ayres; b.12/12/1813; d.30/04/1863; Ayres, 1861",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified.
MAS-SP-0018,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV OR 35903,,MAS-LOC-0001,"Raphus cucullatus. Nearest Named Place: Petite Riviere, Mauritius. Presented, Dr Philip B. Ayres; b.12/12/1813; d.30/04/1863; Ayres, 1861",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified.
MAS-SP-0019,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 1389,,MAS-LOC-0002,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0020,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 1441,,MAS-LOC-0002,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0021,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 3606,,MAS-LOC-0002,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0022,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 1388,,MAS-LOC-0002,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0023,MAS-TAX-0005,"Natural History Museum, London (NHMUK)",PV A 153,,MAS-LOC-0004,"Sula piscator (Linnaeus, 1758). Quaternary, Holocene. Rodrigues Island, Rodriguez, Mauritius",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0024,MAS-TAX-0003,"Natural History Museum, London (NHMUK)",PV A 360,,MAS-LOC-0005,"Lophopsittacus mauritianus Owen, 1866. CAST OF FIGURED SPECIMEN. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",B,,,,,,"Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: FIGURED, CAST OF FIGURED SPECIMEN. Age retained as reported by NHM. 'FIGURED'/'CAST OF FIGURED SPECIMEN' is not interpreted as current photograph availability."
MAS-SP-0025,MAS-TAX-0003,"Natural History Museum, London (NHMUK)",PV A 361,,MAS-LOC-0005,"Lophopsittacus mauritianus Owen, 1866. CAST OF FIGURED SPECIMEN. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",B,,,,,,"Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: FIGURED, CAST OF FIGURED SPECIMEN. Age retained as reported by NHM. 'FIGURED'/'CAST OF FIGURED SPECIMEN' is not interpreted as current photograph availability."
MAS-SP-0026,MAS-TAX-0003,"Natural History Museum, London (NHMUK)",PV A 362,,MAS-LOC-0005,"Lophopsittacus mauritianus Owen, 1866. CAST OF FIGURED SPECIMEN. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",B,,,,,,"Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: FIGURED, CAST OF FIGURED SPECIMEN. Age retained as reported by NHM. 'FIGURED'/'CAST OF FIGURED SPECIMEN' is not interpreted as current photograph availability."
MAS-SP-0027,MAS-TAX-0006,"Natural History Museum, London (NHMUK)",PV A 363,,MAS-LOC-0005,"Astur alphonsi Newton & Gadow, 1893. HOLOTYPE. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: HOLOTYPE. Age retained as reported by NHM.
MAS-SP-0028,MAS-TAX-0007,"Natural History Museum, London (NHMUK)",PV A 364,,MAS-LOC-0005,"Plotus nanus Newton & Gadow, 1893. CAST OF HOLOTYPE. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",B,,,,,,"Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: HOLOTYPE, CAST OF HOLOTYPE. Age retained as reported by NHM."
MAS-SP-0029,MAS-TAX-0007,"Natural History Museum, London (NHMUK)",PV A 365,,MAS-LOC-0005,"Plotus nanus Newton & Gadow, 1893. CAST OF HOLOTYPE. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",B,,,,,,"Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: HOLOTYPE, CAST OF HOLOTYPE. Age retained as reported by NHM."
MAS-SP-0030,MAS-TAX-0008,"Natural History Museum, London (NHMUK)",PV A 366,,MAS-LOC-0005,"Butorides mauritianus Gunther & Newton, 1879. CAST OF HOLOTYPE. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",B,,,,,,"Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: HOLOTYPE, CAST OF HOLOTYPE. Age retained as reported by NHM."
MAS-SP-0031,MAS-TAX-0008,"Natural History Museum, London (NHMUK)",PV A 367,,MAS-LOC-0005,"Butorides mauritianus Gunther & Newton, 1879. CAST OF HOLOTYPE. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",B,,,,,,"Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: HOLOTYPE, CAST OF HOLOTYPE. Age retained as reported by NHM."
MAS-SP-0032,MAS-TAX-0009,"Natural History Museum, London (NHMUK)",PV A 368,,MAS-LOC-0005,"Sarcidiornis mauritianus Newton & Gadow, 1893. HOLOTYPE. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: HOLOTYPE. Age retained as reported by NHM.
MAS-SP-0033,MAS-TAX-0010,"Natural History Museum, London (NHMUK)",PV A 369,,MAS-LOC-0005,"Anas theodori Newton & Gadow, 1893. CAST OF HOLOTYPE. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",B,,,,,,"Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: HOLOTYPE, CAST OF HOLOTYPE. Age retained as reported by NHM."
MAS-SP-0034,MAS-TAX-0011,"Natural History Museum, London (NHMUK)",PV A 370,,MAS-LOC-0005,"Fulica newtonii Milne-Edwards, 1867. CAST OF FIGURED SPECIMEN. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",B,,,,,,"Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: FIGURED, CAST OF FIGURED SPECIMEN. Age retained as reported by NHM. 'FIGURED'/'CAST OF FIGURED SPECIMEN' is not interpreted as current photograph availability."
MAS-SP-0035,MAS-TAX-0012,"Natural History Museum, London (NHMUK)",PV A 371,,MAS-LOC-0005,"Aphanapteryx broecki Schlegel, 1854. CAST OF FIGURED SPECIMEN. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",B,,,,,,"Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: FIGURED, CAST OF FIGURED SPECIMEN. Age retained as reported by NHM. 'FIGURED'/'CAST OF FIGURED SPECIMEN' is not interpreted as current photograph availability."
MAS-SP-0036,MAS-TAX-0013,"Natural History Museum, London (NHMUK)",PV R 8325,,,"Triadobatrachus massinoti. Triassic, Early Triassic. Mascarene Islands; Madagascar; Nearest Named Place: near Betsieka Village; Township: Diego-Suarez, Madagascar. Exchange, Museum National d'Histoire Naturelle; Paris; France, 1965",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified.
MAS-SP-0037,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 9064,,,"Pezophaps solitaria. Quaternary, Holocene. Indian Ocean",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0038,MAS-TAX-0003,"Natural History Museum, London (NHMUK)",PV A 3297,,MAS-LOC-0003,"Lophopsittacus mauritianus Owen, 1866. Quaternary, Pleistocene. Mare aux Songes, Mauritius",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0039,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 1350,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene. Mare aux Songes, Mauritius",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0040,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 901,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene. Mare aux Songes, Mauritius. Purchase, Miss E E. Clark; Clark, /07/1910",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0041,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 435,,MAS-LOC-0005,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene - Holocene. Mauritius. Presented, Sir Charles C. Lees; b.11/03/1837; d.26/07/1898; Lees, /04/1892",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0042,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 372,,MAS-LOC-0005,"Raphus cucullatus (Linnaeus, 1758). CAST OF FIGURED SPECIMEN. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",B,,,,,,"Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: FIGURED, CAST OF FIGURED SPECIMEN. Age retained as reported by NHM. 'FIGURED'/'CAST OF FIGURED SPECIMEN' is not interpreted as current photograph availability."
MAS-SP-0043,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 430,,MAS-LOC-0005,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene - Holocene. Mauritius. Presented, Sir Charles C. Lees; b.11/03/1837; d.26/07/1898; Lees, /04/1892",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0044,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 431,,MAS-LOC-0005,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene - Holocene. Mauritius. Presented, Sir Charles C. Lees; b.11/03/1837; d.26/07/1898; Lees, /04/1892",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0045,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 432,,MAS-LOC-0005,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene - Holocene. Mauritius. Presented, Sir Charles C. Lees; b.11/03/1837; d.26/07/1898; Lees, /04/1892",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0046,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 433,,MAS-LOC-0005,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene - Holocene. Mauritius. Presented, Sir Charles C. Lees; b.11/03/1837; d.26/07/1898; Lees, /04/1892",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0047,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 434,,MAS-LOC-0005,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene - Holocene. Mauritius. Presented, Sir Charles C. Lees; b.11/03/1837; d.26/07/1898; Lees, /04/1892",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0048,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 436,,MAS-LOC-0005,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene - Holocene. Mauritius. Presented, Sir Charles C. Lees; b.11/03/1837; d.26/07/1898; Lees, /04/1892",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0049,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 838,,MAS-LOC-0005,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene - Holocene. Corps de Garde Mountain, Mascarene Islands, Mauritius. Presented, Dr James E. Brown; Brown, /03/1903",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0050,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 896,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene. Mare aux Songes, Grand Port, Mauritius. Purchase, Miss E E. Clark; Clark, /07/1910",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0051,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 897,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene. Mare aux Songes, Grand Port, Mauritius. Purchase, Miss E E. Clark; Clark, /07/1910",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0052,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 898,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene. Mare aux Songes, Grand Port, Mauritius. Purchase, Miss E E. Clark; Clark, /07/1910",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0053,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 899,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene. Mare aux Songes, Grand Port, Mauritius. Purchase, Miss E E. Clark; Clark, /07/1910",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0054,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 900,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene. Mare aux Songes, Grand Port, Mauritius. Purchase, Miss E E. Clark; Clark, /07/1910",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0055,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 902,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene. Mare aux Songes, Grand Port, Mauritius. Purchase, Miss E E. Clark; Clark, /07/1910",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0056,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 72,,MAS-LOC-0003,"Raphus cucullatus. Mare-aux-Songes, Mare-aux-Songes, Mauritius. Presented, Master - John E. Lee F.G.S.; b.21/12/1808; d.18/08/1887; Lee, /10/1885",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified.
MAS-SP-0057,MAS-TAX-0015,"Natural History Museum, London (NHMUK)",,,MAS-LOC-0003,"Stub - [Specimen]: PV A 1576. Raphus cucullatus (Linnaeus, 1758). NON-TYPE. Quaternary. Mare aux Songes, Grand Port, Mauritius. Presented, Person String; Lieutenant Colonel C Turner Clark, /10/1922",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: NON-TYPE. Age retained as reported by NHM.
MAS-SP-0058,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 9079,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). NON-TYPE. Quaternary. Mare aux Songes, Grand Port, Mauritius. Presented, Person String; Lieutenant Colonel C Turner Clark, /10/1922",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: NON-TYPE. Age retained as reported by NHM.
MAS-SP-0059,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 3622,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Holocene. Mare-aux-Songes, Mare-aux-Songes, Mauritius",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0060,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 1340,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Holocene. Mare-aux-Songes, Mare-aux-Songes, Mauritius",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0061,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 729,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). NON-TYPE. Quaternary, Holocene. Mare-aux-Songes, Mare-aux-Songes, Mauritius. Made in the Museum, Cambridge Museum of Comparative Anatomy, 1900",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: NON-TYPE. Age retained as reported by NHM.
MAS-SP-0062,MAS-TAX-0014,"Natural History Museum, London (NHMUK)",PV A 9040,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). NON-TYPE. Quaternary, Holocene. Mare-aux-Songes, Mare-aux-Songes, Mauritius",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: NON-TYPE. Age retained as reported by NHM.
MAS-SP-0063,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 1373,,MAS-LOC-0002,"Pezophaps solitaria. NON-TYPE. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: NON-TYPE. Age retained as reported by NHM.
MAS-SP-0064,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 3506,,MAS-LOC-0006,"Pezophaps solitaria. NON-TYPE. Quaternary, Holocene. Plaine Corail (caverns), Rodriguez, Mauritius. Presented, The Royal Society of London, 1876",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: NON-TYPE. Age retained as reported by NHM.
MAS-SP-0065,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 3505,,MAS-LOC-0006,"Pezophaps solitaria. NON-TYPE. Quaternary, Holocene. Plaine Corail (caverns), Rodriguez, Mauritius. Presented, The Royal Society of London, 1876",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: NON-TYPE. Age retained as reported by NHM.
MAS-SP-0066,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 70,,MAS-LOC-0005,"Raphus cucullatus. Quaternary, Pleistocene - Holocene. Mauritius. Presented, Master - Sir Richard Owen; British Museum (Natural History); b.20 July 1804; d.18 Dec 1892; Owen, /08/1884",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.
MAS-SP-0067,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 133,,MAS-LOC-0002,"Pezophaps solitaria. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues). Presented, The Royal Society of London, 1876",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified.
MAS-SP-0068,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 133 a,,MAS-LOC-0002,"Pezophaps solitaria. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues). Presented, The Royal Society of London, 1876",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified.
MAS-SP-0069,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 133 a (i),,MAS-LOC-0002,"Pezophaps solitaria. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues). Presented, The Royal Society of London, 1876",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified.
MAS-SP-0070,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 133 a (ii),,MAS-LOC-0002,"Pezophaps solitaria. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues). Presented, The Royal Society of London, 1876",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified.
MAS-SP-0071,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 133 a (3),,MAS-LOC-0002,"Pezophaps solitaria. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues). Presented, The Royal Society of London, 1876",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified.
