specimen_id,species_id,repository,catalogue_number,element,locality_id,provenance,evidence_confidence,photograph_available,photograph_source,3d_available,3d_repository,3d_id,notes,record_provenance_class,primary_source_id
MAS-SP-0011A,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 1441,"Batch of many solitaire bones, all pathological (healed fractures).",MAS-LOC-0002,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",A,No,https://data.nhm.ac.uk/object/a61b99de-4e91-4962-b814-83dae302bd9e/1789031152519,,,,checked and verified; duplicate catalogue record merged during v0.3 cleanup,Direct museum record,MAS-SRC-0010
MAS-SP-0011,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 1441 1,"humerus male right, pathological (healed fracture).",MAS-LOC-0002,"Pezophaps solitaria. FIGURED. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",A,Yes,"https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon
https://data.nhm.ac.uk/object/9ddd18d2-a0b2-411b-bbde-2e1d593abe5b/1789031152519",,,,checked and verified; literature and NHMUK duplicate records merged during v0.3 cleanup,Direct museum record,MAS-SRC-0010
MAS-SP-0012,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 1441 2,"Coracoid, female left, pathological (healed fracture)",MAS-LOC-0002,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",A,Yes,"https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon
https://data.nhm.ac.uk/object/da1a3367-35ae-44f1-bb4d-9fd655fdd10f/1789031152519",,,,checked and verified; literature and NHMUK duplicate records merged during v0.3 cleanup,Direct museum record,MAS-SRC-0010
MAS-SP-0013,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 3507/ PV A 3505,Carpometacarpi with and without carpal knobs; males and females.,MAS-LOC-0002,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",A,No,https://data.nhm.ac.uk/object/7e99cae4-3a23-4eca-9839-5671d8ef4b9d/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0014,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 1377,"Sternum, female.",MAS-LOC-0002,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",A,Yes,https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0015,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 1382,"Male ulna, right. Male radius, left and right.",MAS-LOC-0002,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",A,Yes,https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0016,MAS-TAX-0004,"Natural History Museum, London (NHMUK)",PV A 9050,Skull,MAS-LOC-0002,"Necropsar rodericanus. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",A,No,https://data.nhm.ac.uk/object/1b2501ae-571e-4cdc-9e9e-9d45fc33440d/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0017,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV OR 35902,Quadrate,MAS-LOC-0001,"Raphus cucullatus. Nearest Named Place: Petite Riviere, Mauritius. Presented, Dr Philip B. Ayres; b.12/12/1813; d.30/04/1863; Ayres, 1861",A,No,https://data.nhm.ac.uk/object/8849c529-99dd-4865-b055-dcff4ee7a3fd/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0018,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV OR 35903,Fragment of radius?,MAS-LOC-0001,"Raphus cucullatus. Nearest Named Place: Petite Riviere, Mauritius. Presented, Dr Philip B. Ayres; b.12/12/1813; d.30/04/1863; Ayres, 1861",A,No,https://data.nhm.ac.uk/object/51186f23-ace1-4a7c-8f24-86227e59de3f/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0019,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 1389,Carpometacarpus without carpal knob; female. Left and right.,MAS-LOC-0002,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",A,No,https://data.nhm.ac.uk/object/bdd72c78-eaad-47df-9a81-bf96422c6743/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0021,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 3606,"Sternum, male.",MAS-LOC-0002,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",A,No,https://data.nhm.ac.uk/object/3b17472f-37b8-4a99-a350-bb1f0a951550/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0022,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 1388,Carpometacarpus; male. Left and right.,MAS-LOC-0002,"Pezophaps solitaria. Quaternary, Pleistocene. Rodriguez (Rodrigues), Cavern, Rodriguez (Rodrigues)",A,No,https://data.nhm.ac.uk/object/8be152fb-5872-44a0-810a-2c8b2587492e/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0023,MAS-TAX-0005,"Natural History Museum, London (NHMUK)",PV A 153,Imperfect skull,MAS-LOC-0004,"Sula piscator (Linnaeus, 1758). Quaternary, Holocene. Rodrigues Island, Rodriguez, Mauritius",A,No,https://data.nhm.ac.uk/object/fe69267e-eb7a-4851-904b-285842bafe3f/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0024,MAS-TAX-0003,"Natural History Museum, London (NHMUK)",PV A 360,Plaster cast of mandible,MAS-LOC-0005,"Lophopsittacus mauritianus Owen, 1866. CAST OF FIGURED SPECIMEN. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",A,No,https://data.nhm.ac.uk/object/7a4b2228-51cf-428d-a954-b6e57b2d8efc/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0025,MAS-TAX-0003,"Natural History Museum, London (NHMUK)",PV A 361,Cast of anterior end of sternum,MAS-LOC-0005,"Lophopsittacus mauritianus Owen, 1866. CAST OF FIGURED SPECIMEN. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",A,No,https://data.nhm.ac.uk/object/9b318129-8fa3-4fc8-905c-af35e6734ee5/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0026,MAS-TAX-0003,"Natural History Museum, London (NHMUK)",PV A 362,Cast of left metatarsus,MAS-LOC-0005,"Lophopsittacus mauritianus Owen, 1866. CAST OF FIGURED SPECIMEN. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",A,No,https://data.nhm.ac.uk/object/ad9525bd-a307-4db7-b6a1-6659421b82ca/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0027,MAS-TAX-0006,"Natural History Museum, London (NHMUK)",PV A 363,Left metacarpal,MAS-LOC-0005,"Astur alphonsi Newton & Gadow, 1893. HOLOTYPE. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",A,No,https://data.nhm.ac.uk/object/6030bcb4-c231-40dc-99e8-3bd463bd118c/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0028,MAS-TAX-0007,"Natural History Museum, London (NHMUK)",PV A 364,Cast of pelvis and sacrum,MAS-LOC-0005,"Plotus nanus Newton & Gadow, 1893. CAST OF HOLOTYPE. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",A,No,https://data.nhm.ac.uk/object/13324949-6fc4-419f-8c2a-cc34376c2315/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0029,MAS-TAX-0007,"Natural History Museum, London (NHMUK)",PV A 365,Cast of left humerus,MAS-LOC-0005,"Plotus nanus Newton & Gadow, 1893. CAST OF HOLOTYPE. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",A,No,https://data.nhm.ac.uk/object/84949480-3563-46ee-9cb2-d6d9f186869a/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0030,MAS-TAX-0008,"Natural History Museum, London (NHMUK)",PV A 366,Cast of left coracoid,MAS-LOC-0005,"Butorides mauritianus Gunther & Newton, 1879. CAST OF HOLOTYPE. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",A,No,https://data.nhm.ac.uk/object/e1c3e698-caaf-45f3-b8d9-31f6e9d6402f/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0031,MAS-TAX-0008,"Natural History Museum, London (NHMUK)",PV A 367,Cast of left metatarsus,MAS-LOC-0005,"Butorides mauritianus Gunther & Newton, 1879. CAST OF HOLOTYPE. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",A,No,https://data.nhm.ac.uk/object/0fdfe39b-c0dc-4936-9ffb-b33b9bfc167a/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0032,MAS-TAX-0009,"Natural History Museum, London (NHMUK)",PV A 368,"No description in register, but it's a carpometacarpus (fig 9-10, pl XXXIV, Newton & Gadow, 1893)",MAS-LOC-0005,"Sarcidiornis mauritianus Newton & Gadow, 1893. HOLOTYPE. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",A,Yes,https://www.biologicaldiversity.org/campaigns/global_owl_project/descriptions/Fossil_owls/Newton%20&%20Gadow%201893.pdf,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0033,MAS-TAX-0010,"Natural History Museum, London (NHMUK)",PV A 369,Plaster cast of anterior end of sternum,MAS-LOC-0005,"Anas theodori Newton & Gadow, 1893. CAST OF HOLOTYPE. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",A,No,https://data.nhm.ac.uk/object/969e9f41-f524-4f8a-a98a-3833f166e6e3/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0034,MAS-TAX-0011,"Natural History Museum, London (NHMUK)",PV A 370,Cast of end of premaxilla,MAS-LOC-0005,"Fulica newtonii Milne-Edwards, 1867. CAST OF FIGURED SPECIMEN. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",A,No,https://data.nhm.ac.uk/object/97e00b7e-9228-4d2b-a9a2-b699e65dd34e/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0035,MAS-TAX-0012,"Natural History Museum, London (NHMUK)",PV A 371,Cast of anterior region of sternum,MAS-LOC-0005,"Aphanapteryx broecki Schlegel, 1854. CAST OF FIGURED SPECIMEN. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",A,No,https://data.nhm.ac.uk/object/33429de7-ef95-4938-a945-66d40a7e6a6c/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0036,MAS-TAX-0002,"Natural History Museum, London (NHMUK)",PV A 9064,left and right tarsometatarsal,MAS-LOC-0006,"Pezophaps solitaria. Quaternary, Holocene. Indian Ocean",A,No,https://data.nhm.ac.uk/object/57fbda96-4cbb-46f9-a94f-c582a455a60b/1789031152519,,,,checked and verified,Direct museum record,MAS-SRC-0010
MAS-SP-0037,MAS-TAX-0003,"Natural History Museum, London (NHMUK)",PV A 3297,,MAS-LOC-0003,"Lophopsittacus mauritianus Owen, 1866. Quaternary, Pleistocene. Mare aux Songes, Mauritius",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,Direct museum record,MAS-SRC-0010
MAS-SP-0038,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 1350,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene. Mare aux Songes, Mauritius",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,Direct museum record,MAS-SRC-0010
MAS-SP-0039,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 901,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene. Mare aux Songes, Mauritius. Purchase, Miss E E. Clark; Clark, /07/1910",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,Direct museum record,MAS-SRC-0010
MAS-SP-0041,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 435,,MAS-LOC-0005,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene - Holocene. Mauritius. Presented, Sir Charles C. Lees; b.11/03/1837; d.26/07/1898; Lees, /04/1892",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,Direct museum record,MAS-SRC-0010
MAS-SP-0042,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 372,,MAS-LOC-0005,"Raphus cucullatus (Linnaeus, 1758). CAST OF FIGURED SPECIMEN. Quaternary, Pleistocene - Holocene. Mauritius. Exchange, Cambridge Museum of Comparative Anatomy, /11/1893",B,,,,,,"Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: FIGURED, CAST OF FIGURED SPECIMEN. Age retained as reported by NHM. 'FIGURED'/'CAST OF FIGURED SPECIMEN' is not interpreted as current photograph availability.",Direct museum record,MAS-SRC-0010
MAS-SP-0043,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 430,,MAS-LOC-0005,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene - Holocene. Mauritius. Presented, Sir Charles C. Lees; b.11/03/1837; d.26/07/1898; Lees, /04/1892",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,Direct museum record,MAS-SRC-0010
MAS-SP-0044,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 431,,MAS-LOC-0005,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene - Holocene. Mauritius. Presented, Sir Charles C. Lees; b.11/03/1837; d.26/07/1898; Lees, /04/1892",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,Direct museum record,MAS-SRC-0010
MAS-SP-0045,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 432,,MAS-LOC-0005,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene - Holocene. Mauritius. Presented, Sir Charles C. Lees; b.11/03/1837; d.26/07/1898; Lees, /04/1892",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,Direct museum record,MAS-SRC-0010
MAS-SP-0046,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 433,,MAS-LOC-0005,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene - Holocene. Mauritius. Presented, Sir Charles C. Lees; b.11/03/1837; d.26/07/1898; Lees, /04/1892",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,Direct museum record,MAS-SRC-0010
MAS-SP-0047,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 434,,MAS-LOC-0005,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene - Holocene. Mauritius. Presented, Sir Charles C. Lees; b.11/03/1837; d.26/07/1898; Lees, /04/1892",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,Direct museum record,MAS-SRC-0010
MAS-SP-0048,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 436,,MAS-LOC-0005,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene - Holocene. Mauritius. Presented, Sir Charles C. Lees; b.11/03/1837; d.26/07/1898; Lees, /04/1892",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,Direct museum record,MAS-SRC-0010
MAS-SP-0049,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 838,,MAS-LOC-0005,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene - Holocene. Corps de Garde Mountain, Mascarene Islands, Mauritius. Presented, Dr James E. Brown; Brown, /03/1903",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,Direct museum record,MAS-SRC-0010
MAS-SP-0050,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 896,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene. Mare aux Songes, Grand Port, Mauritius. Purchase, Miss E E. Clark; Clark, /07/1910",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,Direct museum record,MAS-SRC-0010
MAS-SP-0051,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 897,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene. Mare aux Songes, Grand Port, Mauritius. Purchase, Miss E E. Clark; Clark, /07/1910",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,Direct museum record,MAS-SRC-0010
MAS-SP-0052,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 898,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene. Mare aux Songes, Grand Port, Mauritius. Purchase, Miss E E. Clark; Clark, /07/1910",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,Direct museum record,MAS-SRC-0010
MAS-SP-0053,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 899,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene. Mare aux Songes, Grand Port, Mauritius. Purchase, Miss E E. Clark; Clark, /07/1910",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,Direct museum record,MAS-SRC-0010
MAS-SP-0054,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 900,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene. Mare aux Songes, Grand Port, Mauritius. Purchase, Miss E E. Clark; Clark, /07/1910",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,Direct museum record,MAS-SRC-0010
MAS-SP-0055,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 902,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Pleistocene. Mare aux Songes, Grand Port, Mauritius. Purchase, Miss E E. Clark; Clark, /07/1910",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. Age retained as reported by NHM.,Direct museum record,MAS-SRC-0010
MAS-SP-0056,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 72,,MAS-LOC-0003,"Raphus cucullatus. Mare-aux-Songes, Mare-aux-Songes, Mauritius. Presented, Master - John E. Lee F.G.S.; b.21/12/1808; d.18/08/1887; Lee, /10/1885",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified.,Direct museum record,MAS-SRC-0010
MAS-SP-0057,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 1576,,MAS-LOC-0003,"Stub - [Specimen]: PV A 1576. Raphus cucullatus (Linnaeus, 1758). NON-TYPE. Quaternary. Mare aux Songes, Grand Port, Mauritius. Presented, Person String; Lieutenant Colonel C Turner Clark, /10/1922",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: NON-TYPE. Age retained as reported by NHM.,Direct museum record,MAS-SRC-0010
MAS-SP-0058,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 9079,,MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). NON-TYPE. Quaternary. Mare aux Songes, Grand Port, Mauritius. Presented, Person String; Lieutenant Colonel C Turner Clark, /10/1922",B,,,,,,Raw NHMUK database extract supplied by NHM; identification and fields not independently verified. NHM record flags: NON-TYPE. Age retained as reported by NHM.,Direct museum record,MAS-SRC-0010
MAS-SP-0059,MAS-TAX-0001,"Natural History Museum, London (NHMUK)",PV A 3622,"sternum, unsexed",MAS-LOC-0003,"Raphus cucullatus (Linnaeus, 1758). Quaternary, Holocene. Mare-aux-Songes, Mare-aux-Songes, Mauritius",A,Yes,https://www.researchgate.net/publication/263144413_Fight_club_a_unique_weapon_in_the_wing_of_the_solitairePezophaps_solitariaAves_Columbidae_an_extinct_flightless_bird_from_Rodrigues_Mascarene_Islands_Solitaire_Wing_Weapon,,,,Checked and verified,Direct museum record,MAS-SRC-0010
